time,population,alpha
0.0,1.0,0.15
0.1,1.015113064615719,0.15
0.2,1.030454533953517,0.15
0.30000000000000004,1.046027859908717,0.15
0.4,1.0618365465453596,0.15
0.5,1.0778841508846315,0.15
0.6000000000000001,1.0941742837052104,0.15
0.7000000000000001,1.1107106103557052,0.15
0.8,1.1274968515793757,0.15
0.9,1.1445367843513146,0.15
1.0,1.161834242728283,0.15
1.1,1.1793931187113906,0.15
1.2000000000000002,1.1972173631218102,0.15
1.3,1.2153109864897307,0.15
1.4000000000000001,1.2336780599567432,0.15
1.5,1.2523227161918644,0.15
1.6,1.2712491503214047,0.15
1.7000000000000002,1.2904616208728898,0.15
1.8,1.3099644507332473,0.15
1.9000000000000001,1.3297620281214737,0.15
2.0,1.3498588075760032,0.15
2.1,1.3702593109569967,0.15
2.2,1.3909681284637803,0.15
2.3000000000000003,1.411989919667659,0.15
2.4000000000000004,1.4333294145603404,0.15
2.5,1.4549914146182013,0.15
2.6,1.4769807938826427,0.15
2.7,1.499302500056767,0.15
2.8000000000000003,1.5219615556186339,0.15
2.9000000000000004,1.5449630589513386,0.15
3.0,1.5683121854901687,0.15
3.1,1.5920141888871011,0.15
3.2,1.6160744021928934,0.15
3.3000000000000003,1.640498239057044,0.15
3.4000000000000004,1.6652911949458864,0.15
3.5,1.6904588483790914,0.15
3.6,1.7160068621848585,0.15
3.7,1.7419409847740754,0.15
3.8000000000000003,1.7682670514337353,0.15
3.9000000000000004,1.7949909856399002,0.15
4.0,1.8221188003905089,0.15
4.1000000000000005,1.8496565995583272,0.15
4.2,1.8776105792643432,0.15
4.3,1.9059870292719225,0.15
4.4,1.9347923344020317,0.15
4.5,1.9640329759698472,0.15
4.6000000000000005,1.9937155332430825,0.15
4.7,2.0238466849223475,0.15
4.800000000000001,2.054433210643888,0.15
4.9,2.0854819925050276,0.15
5.0,2.117000016612675,0.15
5.1000000000000005,2.1489943746552203,0.15
5.2,2.181472265498201,0.15
5.300000000000001,2.2144409968040746,0.15
5.4,2.2479079866764717,0.15
5.5,2.2818807653293036,0.15
5.6000000000000005,2.316366976781092,0.15
5.7,2.351374380574902,0.15
5.800000000000001,2.386910853524277,0.15
5.9,2.4229843914855502,0.15
6.0,2.4596031111569494,0.15
6.1000000000000005,2.496775251904888,0.15
6.2,2.5345091776178545,0.15
6.300000000000001,2.572813378588326,0.15
6.4,2.611696473423118,0.15
6.5,2.6511672109826065,0.15
6.6000000000000005,2.691234472349262,0.15
6.7,2.731907272825927,0.15
6.800000000000001,2.7731947639642978,0.15
6.9,2.8151062356240635,0.15
7.0,2.857651118063164,0.15
7.1000000000000005,2.900838984059634,0.15
7.2,2.944679551065524,0.15
7.300000000000001,2.9891826833933632,0.15
7.4,3.034358394435676,0.15
7.5,3.080216848918031,0.15
7.6000000000000005,3.126768365186156,0.15
7.7,3.1740234175276,0.15
7.800000000000001,3.2219926385285005,0.15
7.9,3.270686821465952,0.15
8.0,3.3201169227365472,0.15
8.1,3.3702940643216066,0.15
8.200000000000001,3.4212295362896743,0.15
8.3,3.472934799336826,0.15
8.4,3.5254214873653824,0.15
8.5,3.578701410101579,0.15
8.6,3.6327865557528085,0.15
8.700000000000001,3.6876890937050173,0.15
8.8,3.7434213772608627,0.15
8.9,3.7999959464192696,0.15
9.0,3.857425530696974,0.15
9.1,3.915723051992722,0.15
9.200000000000001,3.9749016274947486,0.15
9.3,4.034974572632203,0.15
9.4,4.095955404071176,0.15
9.5,4.157857842756007,0.15
9.600000000000001,4.220695816996553,0.15
9.700000000000001,4.284483465602117,0.15
9.8,4.349235141062741,0.15
9.9,4.414965412778578,0.15
10.0,4.4816890703380645,0.15
